time,citycode,cityname,index,last_index,index_level,speed,city_coords,provincecode,provincename,weekRate
201903250925,131,北京,2.27,2.12,4,20.56,"12959238.56,4825347.47",131,北京,0.071
201903250925,146,贵阳,2.20,2.34,4,20.58,"11870885.18,3060812.20",24,贵州,-0.06
201903250925,132,重庆,2.18,2.42,4,21.25,"11862018.46,3427244.19",132,重庆,-0.099
201903250925,300,福州,2.10,2.02,4,20.96,"13280886.83,2990092.74",16,福建,0.04
201903250925,179,杭州,2.09,1.96,4,20.01,"13376484.03,3517857.39",29,浙江,0.066
201903250925,289,上海,1.96,2.03,3,19.96,"13523265.31,3641114.64",289,上海,-0.034
201903250925,218,武汉,1.95,1.87,3,21.35,"12725273.29,3558757.28",15,湖北,0.043
201903250925,92,乌鲁木齐,1.95,1.85,3,22.33,"9754288.85,5409732.61",12,新疆,0.054
201903250925,340,深圳,1.92,1.69,3,23.65,"12697919.69,2560977.31",7,广东,0.136
201903250925,48,哈尔滨,1.91,1.82,3,21.65,"14086790.68,5718671.60",2,黑龙江,0.049
201903250925,119,东莞,1.89,1.56,3,25.12,"12663646.09,2618419.30",7,广东,0.212
201903250925,248,内江,1.87,1.42,3,23.57,"11695912.71,3429133.90",32,四川,0.317
201903250925,316,徐州,1.87,1.62,3,21.85,"13057066.72,4032808.36",18,江苏,0.154
201903250925,138,佛山,1.84,1.80,3,24.11,"12593536.51,2618504.74",7,广东,0.022
201903250925,158,长沙,1.84,1.88,3,24.03,"12573153.72,3258106.27",26,湖南,-0.021
201903250925,257,广州,1.83,1.64,3,24.68,"12609384.20,2631450.58",7,广东,0.116
201903250925,141,梅州,1.82,1.73,3,23.22,"12927581.68,2771574.07",7,广东,0.052
201903250925,315,南京,1.78,1.84,2,23.54,"13225221.26,3748918.53",18,江苏,-0.033
201903250925,75,成都,1.78,2.06,2,25.67,"11585280.82,3555907.48",32,四川,-0.136
201903250925,127,合肥,1.77,1.77,2,24.39,"13050732.25,3717865.48",23,安徽,0
201903250925,58,沈阳,1.75,1.64,2,23.35,"13741313.13,5104005.77",19,辽宁,0.067
201903250925,321,呼和浩特,1.75,1.58,2,25.97,"12441036.70,4961658.65",22,内蒙古自治区,0.108
201903250925,309,南阳,1.74,1.58,2,24.26,"12527476.18,3871381.71",30,河南,0.101
201903250925,134,泉州,1.73,1.54,2,26.92,"13211798.77,2842902.63",16,福建,0.123
201903250925,159,衡阳,1.73,1.73,2,24.69,"12532306.19,3091415.96",26,湖南,0
201903250925,233,西安,1.72,1.72,2,25.57,"12127979.30,4051219.02",27,陕西,0
201903250925,142,桂林,1.69,1.34,2,23.09,"12278277.31,2891750.50",17,广西,0.261
201903250925,268,郑州,1.68,1.73,2,27.16,"12649521.59,4105848.27",30,河南,-0.029
201903250925,163,南昌,1.68,1.65,2,25.01,"12898120.55,3315255.29",31,江西,0.018
201903250925,149,沧州,1.68,1.63,2,29.57,"13007297.74,4596606.70",25,河北,0.031
201903250925,53,长春,1.67,1.61,2,26.56,"13951842.48,5408037.28",9,吉林,0.037
201903250925,128,阜阳,1.66,1.50,2,25.79,"12893318.37,3858071.13",23,安徽,0.107
201903250925,111,大理,1.66,1.72,2,24.72,"11162596.94,2932491.73",28,云南,-0.035
